benchmark,fault_model,fault_id,criterion,iteration,selected_test_count,target_score,achieved_score,triggered,detected,seed,faulty_timed_out,reference_timed_out,timeout_seconds,batch
HumanEval+,claude-haiku-4-5,HumanEval_18_candidate_0,statement,0,1,0.5,0.5,False,False,5000,False,False,5.0,1
HumanEval+,claude-haiku-4-5,HumanEval_18_candidate_0,statement,1,1,0.5,0.5,False,False,5001,False,False,5.0,1
HumanEval+,claude-haiku-4-5,HumanEval_18_candidate_0,statement,2,1,0.5,0.5,False,False,5002,False,False,5.0,1
HumanEval+,claude-haiku-4-5,HumanEval_18_candidate_0,statement,3,1,0.5,0.5,True,True,5003,False,False,5.0,1
HumanEval+,claude-haiku-4-5,HumanEval_18_candidate_0,statement,4,1,0.5,0.5,False,False,5004,False,False,5.0,1
HumanEval+,claude-haiku-4-5,HumanEval_18_candidate_0,statement,5,1,0.5,0.5,False,False,5005,False,False,5.0,1
HumanEval+,claude-haiku-4-5,HumanEval_18_candidate_0,statement,6,1,0.5,0.5,True,True,5006,False,False,5.0,1
HumanEval+,claude-haiku-4-5,HumanEval_18_candidate_0,statement,7,1,0.5,0.5,True,True,5007,False,False,5.0,1
HumanEval+,claude-haiku-4-5,HumanEval_18_candidate_0,statement,8,1,0.5,0.5,False,False,5008,False,False,5.0,1
HumanEval+,claude-haiku-4-5,HumanEval_18_candidate_0,statement,9,1,0.5,0.5,True,True,5009,False,False,5.0,1
HumanEval+,claude-haiku-4-5,HumanEval_18_candidate_0,statement,10,1,0.5,0.5,False,False,5010,False,False,5.0,1
HumanEval+,claude-haiku-4-5,HumanEval_18_candidate_0,statement,11,1,0.5,0.5,False,False,5011,False,False,5.0,1
HumanEval+,claude-haiku-4-5,HumanEval_18_candidate_0,statement,12,1,0.5,0.5,False,False,5012,False,False,5.0,1
HumanEval+,claude-haiku-4-5,HumanEval_18_candidate_0,statement,13,1,0.5,0.5,False,False,5013,False,False,5.0,1
HumanEval+,claude-haiku-4-5,HumanEval_18_candidate_0,statement,14,1,0.5,0.5,True,True,5014,False,False,5.0,1
HumanEval+,claude-haiku-4-5,HumanEval_18_candidate_0,statement,15,1,0.5,0.5,False,False,5015,False,False,5.0,1
HumanEval+,claude-haiku-4-5,HumanEval_18_candidate_0,statement,16,1,0.5,0.5,True,True,5016,False,False,5.0,1
HumanEval+,claude-haiku-4-5,HumanEval_18_candidate_0,statement,17,1,0.5,0.5,False,False,5017,False,False,5.0,1
HumanEval+,claude-haiku-4-5,HumanEval_18_candidate_0,statement,18,1,0.5,0.5,False,False,5018,False,False,5.0,1
HumanEval+,claude-haiku-4-5,HumanEval_18_candidate_0,statement,19,1,0.5,0.5,False,False,5019,False,False,5.0,1
HumanEval+,claude-haiku-4-5,HumanEval_18_candidate_0,statement,20,1,0.5,0.5,True,True,5020,False,False,5.0,1
HumanEval+,claude-haiku-4-5,HumanEval_18_candidate_0,statement,21,1,0.5,0.5,False,False,5021,False,False,5.0,1
HumanEval+,claude-haiku-4-5,HumanEval_18_candidate_0,statement,22,1,0.5,0.5,True,True,5022,False,False,5.0,1
HumanEval+,claude-haiku-4-5,HumanEval_18_candidate_0,statement,23,1,0.5,0.5,True,True,5023,False,False,5.0,1
HumanEval+,claude-haiku-4-5,HumanEval_18_candidate_0,statement,24,1,0.5,0.5,True,True,5024,False,False,5.0,1
HumanEval+,claude-haiku-4-5,HumanEval_18_candidate_0,statement,25,1,0.5,0.5,False,False,5025,False,False,5.0,1
HumanEval+,claude-haiku-4-5,HumanEval_18_candidate_0,statement,26,1,0.5,0.5,True,True,5026,False,False,5.0,1
HumanEval+,claude-haiku-4-5,HumanEval_18_candidate_0,statement,27,1,0.5,0.5,True,True,5027,False,False,5.0,1
HumanEval+,claude-haiku-4-5,HumanEval_18_candidate_0,statement,28,1,0.5,0.5,False,False,5028,False,False,5.0,1
HumanEval+,claude-haiku-4-5,HumanEval_18_candidate_0,statement,29,1,0.5,0.5,True,True,5029,False,False,5.0,1
HumanEval+,claude-haiku-4-5,HumanEval_18_candidate_0,statement,30,1,0.5,0.5,False,False,5030,False,False,5.0,1
HumanEval+,claude-haiku-4-5,HumanEval_18_candidate_0,statement,31,1,0.5,0.5,True,True,5031,False,False,5.0,1
HumanEval+,claude-haiku-4-5,HumanEval_18_candidate_0,statement,32,1,0.5,0.5,False,False,5032,False,False,5.0,1
HumanEval+,claude-haiku-4-5,HumanEval_18_candidate_0,statement,33,1,0.5,0.5,True,True,5033,False,False,5.0,1
HumanEval+,claude-haiku-4-5,HumanEval_18_candidate_0,statement,34,1,0.5,0.5,True,True,5034,False,False,5.0,1
HumanEval+,claude-haiku-4-5,HumanEval_18_candidate_0,statement,35,1,0.5,0.5,False,False,5035,False,False,5.0,1
HumanEval+,claude-haiku-4-5,HumanEval_18_candidate_0,statement,36,1,0.5,0.5,False,False,5036,False,False,5.0,1
HumanEval+,claude-haiku-4-5,HumanEval_18_candidate_0,statement,37,1,0.5,0.5,True,True,5037,False,False,5.0,1
HumanEval+,claude-haiku-4-5,HumanEval_18_candidate_0,statement,38,1,0.5,0.5,False,False,5038,False,False,5.0,1
HumanEval+,claude-haiku-4-5,HumanEval_18_candidate_0,statement,39,1,0.5,0.5,False,False,5039,False,False,5.0,1
HumanEval+,claude-haiku-4-5,HumanEval_18_candidate_0,statement,40,1,0.5,0.5,False,False,5040,False,False,5.0,1
HumanEval+,claude-haiku-4-5,HumanEval_18_candidate_0,statement,41,1,0.5,0.5,True,True,5041,False,False,5.0,1
