benchmark,fault_model,fault_id,criterion,iteration,selected_test_count,target_score,achieved_score,triggered,detected,seed
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,0,4,0.875,0.875,False,False,1000
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,1,4,0.875,0.875,False,False,1001
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,2,4,0.875,0.875,True,False,1002
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,3,4,0.875,0.875,True,True,1003
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,4,4,0.875,0.875,False,False,1004
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,5,4,0.875,0.875,True,True,1005
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,6,4,0.875,0.875,False,False,1006
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,7,4,0.875,0.875,False,False,1007
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,8,4,0.875,0.875,True,False,1008
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,9,4,0.875,0.875,False,False,1009
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,10,4,0.875,0.875,False,False,1010
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,11,4,0.875,0.875,False,False,1011
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,12,4,0.875,0.875,False,False,1012
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,13,4,0.875,0.875,True,True,1013
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,14,4,0.875,0.875,True,False,1014
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,15,4,0.875,0.875,False,False,1015
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,16,4,0.875,0.875,True,True,1016
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,17,4,0.875,0.875,True,True,1017
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,18,4,0.875,0.875,True,False,1018
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,19,4,0.875,0.875,False,False,1019
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,20,4,0.875,0.875,False,False,1020
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,21,4,0.875,0.875,True,False,1021
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,22,4,0.875,0.875,True,False,1022
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,23,4,0.875,0.875,True,True,1023
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,24,4,0.875,0.875,False,False,1024
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,25,4,0.875,0.875,False,False,1025
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,26,4,0.875,0.875,False,False,1026
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,27,4,0.875,0.875,False,False,1027
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,28,4,0.875,0.875,True,True,1028
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,29,4,0.875,0.875,True,False,1029
